 ,SPRATLY ISLANDS, , , , , , , , , , , , , , , , , 
PA,NETHERLANDS, ,X,X,X,X, ,X,X,X,X,X,X,X,X,X,X,X
PJ2,CURACAO, ,X, ,X,X, , , ,X,X,X,X,X,X,X, ,X
PJ4,BONAIRE, ,X,X,X,X, , , ,X,X,X,X,X,X,X, ,X
PJ5 PJ6,SABA & SAINT EUSTATIUS, ,X, , ,X, , , ,X,X,X,X,X,X,X, ,X
PJ7,SINT MAARTEN, ,X, , ,X, , , , , , ,X,X, ,X, ,X
PY,BRAZIL, ,X,X,X,X, , ,X,X,X,X,X,X,X,X, ,X
PY0F,FERNANDO DE NORONHA, ,X, , ,X, , , ,X,X,X,X,X,X,X, , 
PY0S,SAINT PETER AND PAUL ROCKS, , , , , , , , , , , , , , , , , 
PY0T,TRINDADE & MARTIM VAZ ISLANDS, ,X, , ,X, , , , , , , , ,X, , , 
PZ,SURINAME, ,X, ,X,X, , , ,X,X,X,X,X, ,X, , 
R1F,FRANZ JOSEF LAND, ,X, ,X, , , , , , ,X, , , , , , 
S0,WESTERN SAHARA, ,X, , ,X, , , ,X,X,X,X,X,X,X,X, 
S2,BANGLADESH, ,X, , ,X, , ,X,X, ,X, ,X, , , , 
S5,SLOVENIA, ,X,X,X,X, ,X,X,X,X,X,X,X,X,X,X,X
S7,SEYCHELLES ISLANDS, ,X, , ,X, , , , ,X, ,X, , , , ,X
S9,SAO TOME & PRINCIPE, ,X, ,X,X, , , , ,X,X,X,X,X,X, ,X
SM,SWEDEN, ,X,X,X,X, ,X,X,X,X,X,X,X,X,X,X,X
SP,POLAND, ,X,X,X,X, ,X,X,X,X,X,X,X,X,X,X,X
ST,SUDAN, , , , , , , , , , , , , , , , , 
SU,EGYPT, ,X,X,X, , , , , , ,X, , , ,X, , 
SV,GREECE, ,X,X,X,X, , ,X,X,X,X,X,X,X,X,X,X
SV/A,MOUNT ATHOS, ,X, , ,X, , , ,X, ,X, , , , , , 
SV5,DODECANESE, ,X,X,X,X, , ,X,X,X,X,X,X,X,X,X,X
SV9,CRETE, ,X,X,X,X, , ,X,X,X,X,X,X,X,X,X,X
T2,TUVALU, ,X, , ,X, , , , , , ,X, , ,X, , 
T30,WESTERN KIRIBATI, ,X, , ,X, , , , , ,X, ,X, , , , 
T31,CENTRAL KIRIBATI, ,X, , ,X, , , , , , ,X,X, , , , 
T32,EASTERN KIRIBATI, ,X, , ,X, , , , , ,X, , , , , , 
T33,BANABA ISLAND, , , , , , , , , , , , , , , , , 
T5,SOMALIA, , , , , , , , , , , , , , , , , 
T7,SAN MARINO, ,X,X,X,X, , ,X,X,X,X,X,X,X,X,X,X
T8,PALAU, ,X, , ,X, , , , , ,X,X,X, ,X, ,X
TA,TURKEY, ,X,X,X,X, , ,X,X,X,X,X,X,X,X,X,X
TF,ICELAND, ,X,X,X,X, , ,X,X,X,X,X,X,X,X,X,X
TG,GUATEMALA, ,X, , ,X, , , , ,X, , ,X, , , ,X
TI,COSTA RICA, ,X, , ,X, , , ,X,X,X,X, , ,X, ,X
TI9,COCOS ISLAND, , , , , , , , , , , , , , , , , 
TJ,CAMEROON, ,X,X, ,X, , , ,X,X,X, , ,X, , ,X
TK,CORSICA, ,X,X,X,X, , ,X,X,X,X,X,X,X,X,X,X
TL,CENTRAL AFRICAN REPUBLIC, ,X, , ,X, , , , ,X,X, ,X, ,X, , 
TN,REPUBLIC OF THE CONGO, ,X, , ,X, , ,X,X,X,X,X,X, ,X, , 
TR,GABON, ,X, , ,X, , ,X, ,X,X,X,X,X,X, ,X
TT,CHAD, ,X, , ,X, , , , ,X,X, , ,X,X, , 
TU,COTE D'IVOIRE, ,X, , ,X, , ,X, , , , , , ,X, , 
TY,BENIN, ,X, , ,X, , , , , ,X,X,X, ,X, , 
TZ,MALI, ,X, ,X,X, , , , ,X,X, , ,X, , , 
UA,EUROPEAN RUSSIA, ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
UA2,KALININGRAD, ,X, ,X,X, ,X,X,X,X,X,X,X,X,X, , 
UA9 UA0,ASIATIC RUSSIA, ,X,X,X,X, ,X,X,X,X,X,X,X,X,X,X,X
UJ,UZBEKISTAN, ,X,X,X,X, , ,X,X,X,X,X,X,X,X, ,X
UN,KAZAKHSTAN, ,X, ,X,X, , ,X,X,X,X,X,X,X,X,X,X
UT,UKRAINE, ,X,X,X,X, ,X,X,X,X,X,X,X,X,X,X,X
V2,ANTIGUA & BARBUDA, ,X, ,X,X, , , , ,X,X,X,X,X,X, , 
V3,BELIZE, ,X, , ,X, , ,X,X,X,X,X,X,X,X, ,X
V4,SAINT KITTS & NEVIS, ,X, ,X,X, , , , ,X,X,X,X,X,X, , 
V5,NAMIBIA, ,X, ,X,X, , , , , ,X, ,X,X,X, ,X
V6,MICRONESIA, ,X, , ,X, , , , , , ,X, , , , ,X
V7,MARSHALL ISLANDS, ,X, , ,X, , , ,X,X,X,X,X, , , , 
V8,BRUNEI, , , , , , , , , , , , , , , , , 
VE,CANADA, ,X,X,X,X, , ,X,X,X,X,X,X,X,X,X,X
VK,AUSTRALIA, ,X,X,X,X, , ,X,X,X,X,X,X,X,X,X,X
VK0,HEARD ISLAND, , , , , , , , , , , , , , , , , 
VK0,MACQUARIE ISLAND, ,X, , ,X, , , , , ,X, , , , , , 
VK9C,COCOS (KEELING) ISLANDS, ,X, ,X,X, , , , , , ,X,X, ,X, , 
VK9L,LORD HOWE ISLAND, , , , , , , , , , , , , , , , , 
VK9M,MELLISH REEF, , , , , , , , , , , , , , , , , 
